Name,Moisture
The Green Knight,80
The Hunt,65
The Invisible Man,85
The King of Staten Island,85
The Last of Us 2,55
The Last of Us Part 1 Remake,70
The Lion King,50
The Mandalorian,80
The Mandalorian Season 2,90
The Meg,45
The Mummy 2017,50
The Nun,25
The Predator,30
The Prodigy,40
The Promised Neverland,70
The Snowman,20
The Suicide Squad,90
The Surge,75
The Surge 2,80
Thor Ragnarok,85
Thor: Love and Thunder,65
Tiger King,90
Tokyo Revengers,85
Tomb Raider,60
Tower of God,90
Toy Story 4,90
Transformers 5,25
Truth or Dare,15
Umbrella Academy,80
Uncharted,60
Unforgettable,N/A
Unfriended: Dark Web,20
Upgrade,95
Us,50
Valerian,35
Valorant Beta,N/A
Venom,25
Venom: Let There Be Carnage,60
Vinland Saga,90
Vivy: Fluorite Eye's Song,90
WandaVision,70
War for the Planet of the Apes,70
Watch Dogs: Legion,40
Willy's Wonderland,60
Winchester,15
Wish Upon,10
Wolfenstein 2,80
Wonder Woman,80
Wonder Woman 1984,40
Wrinkle in Time,20
Xbox Series X,80
Yakuza: Like A Dragon,90
Yooka-Laylee,40
Zombieland: Double Tap,60
